policy_id,owner_age,gender,zone,vehicle_class,vehicle_age,bonus_class,duration_years,claim_count,claim_cost,is_zero_exposure
80,16,Male,2,3,6,3,0.016438,0,0,False
81,16,Male,2,3,8,1,0.205479,0,0,False
82,16,Male,2,3,11,1,0.060274,0,0,False
83,16,Male,3,1,8,1,0.479452,0,0,False
84,16,Male,3,1,10,1,0.446575,0,0,False
85,16,Male,3,1,12,1,0.161644,0,0,False
86,16,Male,3,1,13,1,0.769863,0,0,False
87,16,Male,3,1,14,1,0.542466,0,0,False
88,16,Male,3,1,15,1,0.016438,0,0,False
89,16,Male,3,1,16,1,0.161644,0,0,False
90,16,Male,3,2,6,1,0.0,0,0,True
91,16,Male,3,2,9,1,0.438356,0,0,False
92,16,Male,3,2,10,1,0.046575,0,0,False
93,16,Male,3,2,11,1,1.315068,0,0,False
94,16,Male,3,2,12,1,0.191781,0,0,False
95,16,Male,3,3,4,1,1.167123,0,0,False
96,16,Male,3,3,5,1,0.59726,0,0,False
97,16,Male,3,3,6,1,1.19726,0,0,False
98,16,Male,3,3,7,1,1.8,1,20223,False
99,16,Male,3,3,7,2,0.082192,0,0,False
100,16,Male,4,1,0,2,0.50137,0,0,False
101,16,Male,4,1,1,1,0.660274,0,0,False
102,16,Male,4,1,2,1,1.854795,0,0,False
103,16,Male,4,1,3,1,1.958904,0,0,False
104,16,Male,4,1,4,1,1.728767,0,0,False
105,16,Male,4,1,5,1,0.386301,0,0,False
106,16,Male,4,1,6,1,0.936986,0,0,False
107,16,Male,4,1,7,1,0.975342,0,0,False
108,16,Male,4,1,8,1,1.063014,0,0,False
109,16,Male,4,1,10,1,0.0,0,0,True
110,16,Male,4,1,11,1,1.641096,0,0,False
111,16,Male,4,1,12,1,0.608219,0,0,False
112,16,Male,4,1,12,2,0.320548,0,0,False
113,16,Male,4,1,13,1,0.413699,0,0,False
114,16,Male,4,1,14,1,0.673973,0,0,False
115,16,Male,4,1,15,1,0.19726,0,0,False
116,16,Male,4,1,17,1,0.378082,0,0,False
117,16,Male,4,1,23,1,0.49589,0,0,False
118,16,Male,4,2,5,1,0.432877,0,0,False
119,16,Male,4,2,6,1,0.443836,0,0,False
120,16,Male,4,2,7,1,1.408219,0,0,False
121,16,Male,4,2,7,2,0.50137,0,0,False
122,16,Male,4,2,8,1,2.871233,0,0,False
123,16,Male,4,2,9,1,2.024658,0,0,False
124,16,Male,4,2,10,1,1.79726,0,0,False
125,16,Male,4,2,10,2,0.263014,0,0,False
126,16,Male,4,2,11,1,3.016438,0,0,False
127,16,Male,4,2,12,1,3.665753,0,0,False
128,16,Male,4,2,12,2,0.252055,0,0,False
129,16,Male,4,2,13,1,2.071233,0,0,False
130,16,Male,4,2,14,1,0.060274,0,0,False
131,16,Male,4,2,15,1,0.328767,0,0,False
132,16,Male,4,2,17,1,0.019178,0,0,False
133,16,Male,4,3,3,1,1.013699,0,0,False
134,16,Male,4,3,3,2,0.153425,0,0,False
135,16,Male,4,3,4,1,1.868493,0,0,False
136,16,Male,4,3,5,1,3.605479,0,0,False
137,16,Male,4,3,6,1,2.523288,0,0,False
138,16,Male,4,3,7,1,3.739726,0,0,False
139,16,Male,4,3,7,2,0.4,0,0,False
140,16,Male,4,3,8,1,0.484932,0,0,False
141,16,Male,4,3,9,1,1.780822,0,0,False
142,16,Male,4,3,10,1,0.427397,0,0,False
143,16,Male,4,3,11,1,0.443836,0,0,False
144,16,Male,4,3,12,1,0.413699,0,0,False
145,16,Male,4,3,18,1,0.038356,0,0,False
146,16,Male,5,2,7,1,0.482192,0,0,False
147,16,Male,5,2,8,1,0.723288,0,0,False
148,16,Male,5,2,9,1,0.235616,0,0,False
149,16,Male,5,2,12,1,0.065753,0,0,False
150,16,Male,5,2,13,1,0.336986,0,0,False
151,16,Male,5,2,16,1,0.00274,0,0,False
152,16,Male,5,3,7,1,0.452055,0,0,False
153,16,Male,6,1,1,1,0.060274,0,0,False
154,16,Male,6,1,3,1,0.443836,0,0,False
155,16,Male,6,1,10,1,0.010959,0,0,False
156,16,Male,6,1,22,1,0.931507,0,0,False
157,16,Male,6,2,7,1,0.145205,0,0,False
158,16,Male,6,2,8,1,0.232877,0,0,False
159,16,Male,6,2,10,1,0.210959,0,0,False
160,16,Male,6,3,4,1,0.128767,0,0,False
161,16,Male,6,3,6,1,0.19726,0,0,False
162,16,Male,7,1,16,1,0.421918,0,0,False
163,16,Male,7,1,18,1,0.0,0,0,True
164,16,Male,7,2,15,1,0.0,0,0,True
165,17,Female,1,1,7,1,0.994521,0,0,False
166,17,Female,1,1,12,1,0.536986,0,0,False
167,17,Female,1,3,8,1,0.189041,0,0,False
168,17,Female,1,3,8,3,0.528767,0,0,False
169,17,Female,2,1,10,1,1.046575,0,0,False
170,17,Female,2,2,13,1,0.0,0,0,True
171,17,Female,2,2,13,2,0.134247,0,0,False
172,17,Female,2,3,15,1,0.249315,0,0,False
173,17,Female,2,3,23,2,0.312329,0,0,False
174,17,Female,3,1,5,1,0.435616,0,0,False
175,17,Female,3,1,16,1,1.00274,0,0,False
176,17,Female,3,1,18,1,1.972603,0,0,False
177,17,Female,3,2,11,1,0.460274,0,0,False
178,17,Female,3,3,8,1,0.493151,0,0,False
179,17,Female,4,1,3,3,0.49589,0,0,False
180,17,Female,4,1,7,1,0.493151,0,0,False
181,17,Female,4,1,11,2,0.432877,0,0,False
182,17,Female,4,1,14,1,0.49589,0,0,False
183,17,Female,4,1,14,2,0.50411,0,0,False
184,17,Female,4,1,15,2,0.49863,0,0,False
185,17,Female,4,1,15,3,0.032877,0,0,False
186,17,Female,4,1,17,1,1.041096,0,0,False
187,17,Female,4,1,17,2,0.39726,0,0,False
188,17,Female,4,1,18,1,0.679452,0,0,False
189,17,Female,4,1,18,2,0.50137,0,0,False
190,17,Female,4,1,19,1,0.994521,0,0,False
191,17,Female,4,2,0,2,0.038356,0,0,False
192,17,Female,4,2,5,1,0.334247,0,0,False
193,17,Female,4,2,10,1,0.487671,0,0,False
194,17,Female,4,2,11,1,0.969863,0,0,False
195,17,Female,4,2,11,2,0.583562,0,0,False
196,17,Female,4,2,13,2,0.747945,0,0,False
197,17,Female,4,2,13,3,0.252055,0,0,False
198,17,Female,4,2,14,1,1.158904,0,0,False
199,17,Female,4,2,17,1,0.254795,0,0,False
200,17,Female,4,3,3,1,0.471233,0,0,False
201,17,Female,4,3,4,1,1.0,0,0,False
202,17,Female,4,3,8,1,0.191781,0,0,False
203,17,Female,4,3,9,1,0.509589,0,0,False
204,17,Female,4,3,10,1,1.0,0,0,False
205,17,Female,4,3,15,1,0.071233,0,0,False
206,17,Female,5,3,9,1,0.0,0,0,True
207,17,Female,6,1,12,1,0.465753,0,0,False
208,17,Female,6,2,11,1,0.252055,0,0,False
209,17,Male,1,1,1,1,0.928767,0,0,False
210,17,Male,1,1,2,1,0.50137,0,0,False
211,17,Male,1,1,2,2,0.008219,0,0,False
212,17,Male,1,1,4,4,0.408219,0,0,False
213,17,Male,1,1,7,1,0.830137,0,0,False
214,17,Male,1,1,8,1,0.410959,0,0,False
215,17,Male,1,1,9,1,0.345205,0,0,False
216,17,Male,1,1,10,1,0.49589,0,0,False
217,17,Male,1,1,14,1,0.50137,0,0,False
218,17,Male,1,1,14,2,0.50137,0,0,False
219,17,Male,1,1,16,4,0.027397,0,0,False
220,17,Male,1,1,46,1,0.419178,0,0,False
221,17,Male,1,2,8,1,0.59726,0,0,False
222,17,Male,1,2,8,3,0.205479,0,0,False
223,17,Male,1,2,9,1,0.221918,0,0,False
224,17,Male,1,2,10,1,0.383562,1,12810,False
225,17,Male,1,2,14,1,0.49863,0,0,False
226,17,Male,1,3,3,1,2.153425,0,0,False
227,17,Male,1,3,3,2,0.183562,0,0,False
228,17,Male,1,3,4,1,0.750685,0,0,False
229,17,Male,1,3,4,2,0.260274,0,0,False
230,17,Male,1,3,5,1,0.421918,0,0,False
231,17,Male,1,3,7,1,1.520548,0,0,False
232,17,Male,1,3,7,2,0.893151,0,0,False
233,17,Male,1,3,8,1,0.0,0,0,True
234,17,Male,1,3,9,1,0.0,0,0,True
235,17,Male,2,1,0,2,0.452055,0,0,False
236,17,Male,2,1,2,1,0.958904,0,0,False
237,17,Male,2,1,5,1,2.556164,0,0,False
238,17,Male,2,1,6,1,1.013699,0,0,False
239,17,Male,2,1,7,1,3.115068,0,0,False
240,17,Male,2,1,7,2,1.010959,0,0,False
241,17,Male,2,1,7,3,0.531507,0,0,False
242,17,Male,2,1,8,1,0.994521,0,0,False
243,17,Male,2,1,9,1,1.882192,0,0,False
244,17,Male,2,1,10,1,1.252055,0,0,False
245,17,Male,2,1,12,1,2.854795,0,0,False
246,17,Male,2,1,13,1,0.380822,0,0,False
247,17,Male,2,1,14,1,1.079452,0,0,False
248,17,Male,2,1,16,1,0.958904,0,0,False
249,17,Male,2,1,19,1,0.936986,0,0,False
250,17,Male,2,2,6,1,0.353425,0,0,False
251,17,Male,2,2,7,1,1.205479,0,0,False
252,17,Male,2,2,9,1,0.473973,0,0,False
253,17,Male,2,2,9,2,0.0,0,0,True
254,17,Male,2,2,10,1,1.430137,0,0,False
255,17,Male,2,2,10,2,0.580822,0,0,False
256,17,Male,2,2,11,1,1.452055,1,5000,False
257,17,Male,2,2,11,2,0.50137,0,0,False
258,17,Male,2,2,13,1,0.545205,0,0,False
259,17,Male,2,2,13,2,0.391781,0,0,False
260,17,Male,2,2,14,1,1.0,0,0,False
261,17,Male,2,3,3,1,0.756164,0,0,False
262,17,Male,2,3,3,2,0.235616,0,0,False
263,17,Male,2,3,4,1,0.493151,0,0,False
264,17,Male,2,3,5,1,1.473973,0,0,False
265,17,Male,2,3,5,2,0.838356,0,0,False
266,17,Male,2,3,5,3,0.2,0,0,False
267,17,Male,2,3,6,1,1.139726,0,0,False
268,17,Male,2,3,7,1,1.079452,0,0,False
269,17,Male,2,3,7,3,0.750685,0,0,False
270,17,Male,2,3,7,4,0.252055,0,0,False
271,17,Male,2,3,8,1,1.0,0,0,False
272,17,Male,2,3,8,2,0.917808,0,0,False
273,17,Male,2,3,9,1,0.783562,1,8000,False
274,17,Male,2,3,10,1,2.246575,0,0,False
275,17,Male,2,3,11,1,0.0,0,0,True
276,17,Male,2,4,6,1,0.128767,0,0,False
277,17,Male,3,1,1,1,1.369863,0,0,False
278,17,Male,3,1,4,1,0.630137,0,0,False
279,17,Male,3,1,5,1,1.383562,0,0,False
280,17,Male,3,1,6,1,0.975342,0,0,False
281,17,Male,3,1,6,2,0.342466,0,0,False
282,17,Male,3,1,7,1,4.128767,0,0,False
283,17,Male,3,1,7,2,0.183562,1,15000,False
284,17,Male,3,1,8,1,2.490411,0,0,False
285,17,Male,3,1,9,1,0.961644,0,0,False
286,17,Male,3,1,10,1,0.106849,0,0,False
287,17,Male,3,1,11,1,0.49589,0,0,False
288,17,Male,3,1,11,2,0.50411,0,0,False
289,17,Male,3,1,12,1,2.536986,0,0,False
290,17,Male,3,1,12,2,0.010959,0,0,False
291,17,Male,3,1,13,1,0.980822,0,0,False
292,17,Male,3,1,13,2,0.279452,0,0,False
293,17,Male,3,1,14,1,1.769863,0,0,False
294,17,Male,3,1,15,1,0.263014,0,0,False
295,17,Male,3,1,16,1,3.369863,0,0,False
296,17,Male,3,1,17,1,1.50137,0,0,False
297,17,Male,3,1,17,2,0.50137,0,0,False
298,17,Male,3,1,18,1,0.276712,0,0,False
299,17,Male,3,2,3,1,0.589041,0,0,False
300,17,Male,3,2,3,2,0.657534,0,0,False
301,17,Male,3,2,4,1,0.216438,0,0,False
302,17,Male,3,2,6,1,0.975342,0,0,False
303,17,Male,3,2,6,2,0.432877,0,0,False
304,17,Male,3,2,8,2,0.50137,0,0,False
305,17,Male,3,2,10,1,1.0,0,0,False
306,17,Male,3,2,11,1,1.252055,0,0,False
307,17,Male,3,2,12,1,4.791781,0,0,False
308,17,Male,3,2,12,2,0.99726,0,0,False
309,17,Male,3,2,13,1,0.454795,0,0,False
310,17,Male,3,2,14,1,0.734247,0,0,False
311,17,Male,3,2,15,1,1.413699,0,0,False
312,17,Male,3,2,16,1,0.945205,0,0,False
313,17,Male,3,2,17,4,0.430137,0,0,False
314,17,Male,3,3,3,2,1.0,0,0,False
315,17,Male,3,3,3,3,0.161644,0,0,False
316,17,Male,3,3,4,1,3.810959,1,15122,False
317,17,Male,3,3,4,2,0.010959,0,0,False
318,17,Male,3,3,5,1,2.638356,1,822,False
319,17,Male,3,3,5,2,0.742466,0,0,False
320,17,Male,3,3,6,1,1.441096,0,0,False
321,17,Male,3,3,7,1,2.147945,0,0,False
322,17,Male,3,3,7,2,1.50411,0,0,False
323,17,Male,3,3,8,1,1.446575,0,0,False
324,17,Male,3,3,8,2,0.821918,0,0,False
325,17,Male,3,3,9,1,0.457534,0,0,False
326,17,Male,3,3,10,1,0.969863,0,0,False
327,17,Male,3,3,12,1,0.50411,0,0,False
328,17,Male,3,3,13,1,0.539726,0,0,False
329,17,Male,3,5,3,1,0.243836,0,0,False
330,17,Male,4,1,0,1,0.60274,0,0,False
331,17,Male,4,1,0,2,0.493151,0,0,False
332,17,Male,4,1,1,1,1.446575,0,0,False
333,17,Male,4,1,1,2,0.465753,0,0,False
334,17,Male,4,1,2,1,2.821918,0,0,False
335,17,Male,4,1,2,2,0.4,0,0,False
336,17,Male,4,1,3,1,4.380822,0,0,False
337,17,Male,4,1,4,1,4.243836,0,0,False
338,17,Male,4,1,4,2,1.232877,0,0,False
339,17,Male,4,1,5,1,2.939726,0,0,False
340,17,Male,4,1,5,2,1.027397,0,0,False
341,17,Male,4,1,6,1,7.358904,0,0,False
342,17,Male,4,1,6,2,1.106849,1,6685,False
343,17,Male,4,1,7,1,4.969863,0,0,False
344,17,Male,4,1,7,2,0.558904,0,0,False
345,17,Male,4,1,8,1,3.810959,0,0,False
346,17,Male,4,1,8,2,1.0,0,0,False
347,17,Male,4,1,8,4,0.926027,0,0,False
348,17,Male,4,1,9,1,1.438356,0,0,False
349,17,Male,4,1,9,2,1.0,0,0,False
350,17,Male,4,1,10,1,3.079452,0,0,False
351,17,Male,4,1,11,1,3.876712,0,0,False
352,17,Male,4,1,11,2,0.279452,0,0,False
353,17,Male,4,1,12,1,7.660274,0,0,False
354,17,Male,4,1,12,2,1.50137,0,0,False
355,17,Male,4,1,13,1,2.726027,0,0,False
356,17,Male,4,1,13,2,0.238356,0,0,False
357,17,Male,4,1,13,3,0.49589,0,0,False
358,17,Male,4,1,14,1,1.665753,0,0,False
359,17,Male,4,1,15,1,3.334247,0,0,False
360,17,Male,4,1,15,2,0.50137,0,0,False
361,17,Male,4,1,16,1,4.857534,0,0,False
362,17,Male,4,1,16,2,0.0,0,0,True
363,17,Male,4,1,17,1,3.306849,0,0,False
364,17,Male,4,1,18,1,0.972603,0,0,False
365,17,Male,4,1,19,1,0.950685,0,0,False
366,17,Male,4,1,24,1,0.805479,0,0,False
367,17,Male,4,1,28,1,1.194521,0,0,False
368,17,Male,4,1,40,1,0.460274,0,0,False
369,17,Male,4,1,43,1,1.0,0,0,False
370,17,Male,4,2,4,1,0.49589,0,0,False
371,17,Male,4,2,5,2,0.547945,0,0,False
372,17,Male,4,2,6,1,0.49863,0,0,False
373,17,Male,4,2,6,2,0.50137,0,0,False
374,17,Male,4,2,7,1,3.983562,0,0,False
375,17,Male,4,2,7,2,0.252055,0,0,False
376,17,Male,4,2,8,1,3.547945,0,0,False
377,17,Male,4,2,8,2,0.750685,0,0,False
378,17,Male,4,2,8,3,0.50137,0,0,False
379,17,Male,4,2,9,1,5.989041,0,0,False
380,17,Male,4,2,9,2,1.287671,0,0,False
381,17,Male,4,2,10,1,6.482192,0,0,False
382,17,Male,4,2,10,2,2.868493,0,0,False
383,17,Male,4,2,11,1,5.465753,0,0,False
384,17,Male,4,2,11,2,0.594521,0,0,False
385,17,Male,4,2,12,1,10.97534,0,0,False
386,17,Male,4,2,12,2,0.232877,0,0,False
387,17,Male,4,2,13,1,3.175342,0,0,False
388,17,Male,4,2,13,2,2.421918,0,0,False
389,17,Male,4,2,14,1,4.482192,0,0,False
390,17,Male,4,2,14,2,1.008219,0,0,False
391,17,Male,4,2,15,1,4.635616,0,0,False
392,17,Male,4,2,15,2,0.136986,0,0,False
393,17,Male,4,2,16,1,3.389041,0,0,False
394,17,Male,4,2,17,3,0.989041,0,0,False
395,17,Male,4,2,18,1,0.906849,0,0,False
396,17,Male,4,2,18,2,0.024658,0,0,False
397,17,Male,4,3,0,2,0.40274,0,0,False
398,17,Male,4,3,3,1,4.10137,0,0,False
399,17,Male,4,3,3,2,0.268493,0,0,False
400,17,Male,4,3,4,1,5.10137,0,0,False
401,17,Male,4,3,4,2,1.128767,0,0,False
402,17,Male,4,3,4,3,0.016438,0,0,False
403,17,Male,4,3,5,1,6.528767,0,0,False
404,17,Male,4,3,5,2,0.0,0,0,True
405,17,Male,4,3,6,1,6.147945,0,0,False
406,17,Male,4,3,6,2,0.745205,0,0,False
407,17,Male,4,3,7,1,5.29863,0,0,False
408,17,Male,4,3,7,2,1.564384,0,0,False
409,17,Male,4,3,7,3,0.249315,0,0,False
410,17,Male,4,3,8,1,8.386301,0,0,False
411,17,Male,4,3,8,2,1.252055,0,0,False
412,17,Male,4,3,8,3,0.569863,0,0,False
413,17,Male,4,3,9,1,2.646575,0,0,False
414,17,Male,4,3,9,2,0.0,0,0,True
415,17,Male,4,3,10,1,4.961644,0,0,False
416,17,Male,4,3,10,2,1.419178,0,0,False
417,17,Male,4,3,11,1,0.49863,0,0,False
418,17,Male,4,3,11,2,0.50137,0,0,False
419,17,Male,4,3,12,1,0.961644,0,0,False
420,17,Male,4,3,13,1,1.161644,0,0,False
421,17,Male,4,3,14,2,0.254795,0,0,False
422,17,Male,4,3,19,1,0.553425,0,0,False
423,17,Male,4,3,19,2,0.446575,0,0,False
424,17,Male,4,4,1,1,0.016438,1,20500,False
425,17,Male,4,5,12,1,0.134247,0,0,False
426,17,Male,4,6,8,1,0.424658,0,0,False
427,17,Male,4,7,10,1,0.210959,0,0,False
428,17,Male,5,1,8,1,0.986301,0,0,False
429,17,Male,5,1,17,1,0.936986,0,0,False
430,17,Male,5,1,18,1,0.926027,0,0,False
431,17,Male,5,2,8,1,1.00274,0,0,False
432,17,Male,5,2,10,1,0.482192,0,0,False
433,17,Male,5,2,13,1,0.89863,0,0,False
434,17,Male,5,2,13,2,0.079452,0,0,False
435,17,Male,5,2,14,1,0.405479,0,0,False
436,17,Male,5,3,11,1,0.969863,0,0,False
437,17,Male,6,1,2,1,0.863014,0,0,False
438,17,Male,6,1,4,1,0.553425,0,0,False
439,17,Male,6,1,4,2,0.317808,0,0,False
440,17,Male,6,1,23,1,1.0,0,0,False
441,17,Male,6,2,7,1,0.452055,0,0,False
442,17,Male,6,2,9,1,1.175342,0,0,False
443,17,Male,6,2,9,2,0.038356,0,0,False
444,17,Male,6,2,11,1,1.216438,0,0,False
445,17,Male,6,2,12,1,0.454795,0,0,False
446,17,Male,6,2,13,1,1.0,0,0,False
447,17,Male,6,2,15,1,0.980822,0,0,False
448,17,Male,6,3,5,1,0.372603,0,0,False
449,17,Male,6,3,7,1,0.750685,0,0,False
450,17,Male,6,3,7,2,0.172603,0,0,False
451,17,Male,6,3,8,1,1.747945,0,0,False
452,17,Male,6,3,8,2,1.057534,0,0,False
453,17,Male,6,3,10,1,0.989041,0,0,False
454,17,Male,6,6,7,1,0.150685,0,0,False
455,17,Male,7,1,12,1,0.934247,0,0,False
456,17,Male,7,1,19,1,0.506849,0,0,False
457,17,Male,7,2,12,1,0.986301,0,0,False
458,17,Male,7,2,12,2,0.139726,0,0,False
459,17,Male,7,3,4,1,0.00274,0,0,False
460,18,Female,1,1,8,2,1.0,0,0,False
461,18,Female,1,2,11,2,0.778082,0,0,False
462,18,Female,1,3,9,3,0.49863,0,0,False
463,18,Female,1,3,9,4,0.50137,0,0,False
464,18,Female,2,1,11,1,0.928767,0,0,False
465,18,Female,2,1,12,1,0.49863,0,0,False
466,18,Female,2,3,24,2,0.756164,0,0,False
467,18,Female,3,1,4,1,0.649315,0,0,False
468,18,Female,3,1,6,1,0.49589,0,0,False
469,18,Female,3,1,6,2,0.50411,0,0,False
470,18,Female,3,1,10,1,0.953425,0,0,False
471,18,Female,3,1,16,2,0.150685,0,0,False
472,18,Female,3,1,17,1,1.0,0,0,False
473,18,Female,3,1,19,2,2.0,0,0,False
474,18,Female,3,1,27,1,0.994521,0,0,False
475,18,Female,3,1,38,1,0.106849,0,0,False
476,18,Female,3,2,12,1,0.994521,0,0,False
477,18,Female,3,2,15,1,0.534247,0,0,False
478,18,Female,3,3,7,2,0.931507,0,0,False
479,18,Female,3,3,7,3,0.071233,0,0,False
480,18,Female,3,3,12,1,1.0,0,0,False
481,18,Female,3,3,12,2,0.753425,0,0,False
482,18,Female,3,5,13,1,0.235616,0,0,False
483,18,Female,3,6,16,5,0.0,0,0,True
484,18,Female,4,1,8,1,0.49589,0,0,False
485,18,Female,4,1,13,1,0.923288,0,0,False
486,18,Female,4,1,15,1,0.827397,0,0,False
487,18,Female,4,1,15,2,0.49589,0,0,False
488,18,Female,4,1,16,3,0.29589,0,0,False
489,18,Female,4,1,17,1,0.649315,0,0,False
490,18,Female,4,1,18,1,1.49589,0,0,False
491,18,Female,4,1,18,2,0.50411,0,0,False
492,18,Female,4,1,19,1,0.0,0,0,True
493,18,Female,4,1,19,2,0.49863,0,0,False
494,18,Female,4,1,19,3,0.50137,0,0,False
495,18,Female,4,1,20,2,1.0,0,0,False
496,18,Female,4,2,1,2,0.958904,0,0,False
497,18,Female,4,2,11,1,0.994521,0,0,False
498,18,Female,4,2,14,3,0.4,0,0,False
499,18,Female,4,2,15,2,1.0,0,0,False
500,18,Female,4,2,16,1,0.169863,1,2284,False
501,18,Female,4,2,21,1,0.49863,0,0,False
502,18,Female,4,3,1,1,0.189041,0,0,False
503,18,Female,4,3,4,1,0.20274,0,0,False
504,18,Female,4,3,5,1,0.931507,0,0,False
505,18,Female,4,3,8,1,0.509589,0,0,False
506,18,Female,4,3,10,1,1.0,0,0,False
507,18,Female,4,3,11,1,0.846575,0,0,False
508,18,Female,4,3,11,2,0.093151,0,0,False
509,18,Female,4,3,13,1,0.391781,0,0,False
510,18,Female,5,3,14,4,0.424658,0,0,False
511,18,Female,6,2,12,1,0.526027,0,0,False
512,18,Female,6,2,13,1,0.980822,0,0,False
513,18,Female,6,2,13,2,0.0,0,0,True
514,18,Female,6,3,16,4,0.49863,0,0,False
515,18,Female,6,4,13,2,0.405479,0,0,False
516,18,Female,6,5,2,1,0.224658,0,0,False
517,18,Male,1,1,2,2,1.0,0,0,False
518,18,Male,1,1,3,2,0.361644,0,0,False
519,18,Male,1,1,5,1,1.446575,0,0,False
520,18,Male,1,1,5,5,0.227397,0,0,False
521,18,Male,1,1,6,1,0.126027,0,0,False
522,18,Male,1,1,8,2,1.0,0,0,False
523,18,Male,1,1,10,1,0.969863,0,0,False
524,18,Male,1,1,15,2,0.49863,0,0,False
525,18,Male,1,2,7,2,0.49589,0,0,False
526,18,Male,1,2,7,3,0.252055,0,0,False
527,18,Male,1,2,9,1,0.939726,0,0,False
528,18,Male,1,2,10,3,0.246575,0,0,False
529,18,Male,1,2,11,1,0.591781,0,0,False
530,18,Male,1,2,11,2,0.610959,0,0,False
531,18,Male,1,2,11,3,0.00274,0,0,False
532,18,Male,1,2,12,1,0.224658,1,5100,False
533,18,Male,1,2,13,1,0.421918,0,0,False
534,18,Male,1,2,14,1,0.923288,0,0,False
535,18,Male,1,2,14,2,0.0,0,0,True
